dteday,season,year,month,hour,weekday,workingday,weather_situation,temp,average_temp,humidity,windspeed,casual,registered,total,total_customers,recency,monetary_value_x,R,F,M,RFM_Score,cluster,frequency,monetary_value_y,r_score,monetary_value
2011-01-02,spring,2011,January,9,Sunday,Holiday,Mist,0.38,0.3939,0.76,0.2239,1,19,20,20,729,20,1,1,2,112,1,727,159438,1,20
2011-01-02,spring,2011,January,10,Sunday,Holiday,Mist,0.36,0.3485,0.81,0.2239,7,46,53,53,729,53,1,2,2,122,1,727,126257,1,53
2011-01-02,spring,2011,January,11,Sunday,Holiday,Mist,0.36,0.3333,0.71,0.2537,16,54,70,70,729,70,1,2,1,121,1,727,151320,1,70
2011-01-02,spring,2011,January,12,Sunday,Holiday,Mist,0.36,0.3333,0.66,0.2985,20,73,93,93,729,93,1,2,1,121,1,728,184414,1,93
2011-01-02,spring,2011,January,13,Sunday,Holiday,Mist,0.36,0.3485,0.66,0.1343,11,64,75,75,729,75,1,2,2,122,1,729,184919,1,75
2011-01-02,spring,2011,January,14,Sunday,Holiday,Light Snow,0.36,0.3485,0.76,0.194,4,55,59,59,729,59,1,2,2,122,1,729,175652,1,59
2011-01-02,spring,2011,January,15,Sunday,Holiday,Light Snow,0.34,0.3333,0.81,0.1642,19,55,74,74,729,74,1,2,1,121,1,729,183149,1,74
2011-01-02,spring,2011,January,16,Sunday,Holiday,Light Snow,0.34,0.3333,0.71,0.1642,9,67,76,76,729,76,1,2,1,121,1,730,227748,1,76
2011-01-02,spring,2011,January,17,Sunday,Holiday,Clear,0.34,0.3333,0.57,0.194,7,58,65,65,729,65,1,2,1,121,1,730,336860,1,65
2011-01-02,spring,2011,January,18,Sunday,Holiday,Mist,0.36,0.3333,0.46,0.3284,10,43,53,53,729,53,1,2,1,121,1,728,309772,1,53
2011-01-02,spring,2011,January,19,Sunday,Holiday,Clear,0.32,0.2879,0.42,0.4478,1,29,30,30,729,30,1,1,1,111,1,728,226789,1,30
2011-01-02,spring,2011,January,20,Sunday,Holiday,Clear,0.3,0.2727,0.39,0.3582,5,17,22,22,729,22,1,1,1,111,1,728,164550,1,22
2011-01-02,spring,2011,January,21,Sunday,Holiday,Clear,0.26,0.2273,0.44,0.3284,11,20,31,31,729,31,1,1,1,111,1,728,125445,1,31
2011-01-02,spring,2011,January,22,Sunday,Holiday,Clear,0.24,0.2121,0.44,0.2985,0,9,9,9,729,9,1,1,1,111,1,728,95612,1,9
2011-01-02,spring,2011,January,23,Sunday,Holiday,Clear,0.22,0.2273,0.47,0.1642,0,8,8,8,729,8,1,1,1,111,1,728,63941,1,8
2011-01-03,spring,2011,January,0,Monday,Workingday,Clear,0.22,0.197,0.44,0.3582,0,5,5,5,728,5,1,1,1,111,1,726,39130,1,5
2011-01-03,spring,2011,January,1,Monday,Workingday,Clear,0.2,0.1667,0.44,0.4179,0,2,2,2,728,2,1,1,1,111,1,724,24164,1,2
2011-01-03,spring,2011,January,4,Monday,Workingday,Clear,0.16,0.1364,0.47,0.3881,0,1,1,1,728,1,1,1,1,111,1,697,4428,1,1
2011-01-03,spring,2011,January,5,Monday,Workingday,Clear,0.16,0.1364,0.47,0.2836,0,3,3,3,728,3,1,1,1,111,1,717,14261,1,3
2011-01-03,spring,2011,January,6,Monday,Workingday,Clear,0.14,0.1061,0.5,0.3881,0,30,30,30,728,30,1,1,1,111,1,725,55132,1,30
2011-01-03,spring,2011,January,7,Monday,Workingday,Clear,0.14,0.1364,0.5,0.194,1,63,64,64,728,64,1,2,1,121,1,727,154171,1,64
2011-01-03,spring,2011,January,8,Monday,Workingday,Clear,0.14,0.1212,0.5,0.2836,1,153,154,154,728,154,1,3,1,131,1,727,261001,1,154
2011-01-03,spring,2011,January,9,Monday,Workingday,Clear,0.16,0.1364,0.43,0.3881,7,81,88,88,728,88,1,2,1,121,1,727,159438,1,88
2011-01-03,spring,2011,January,10,Monday,Workingday,Clear,0.18,0.1667,0.43,0.2537,11,33,44,44,728,44,1,2,1,121,1,727,126257,1,44
2011-01-03,spring,2011,January,11,Monday,Workingday,Clear,0.2,0.1818,0.4,0.3284,10,41,51,51,728,51,1,2,1,121,1,727,151320,1,51
2011-01-03,spring,2011,January,12,Monday,Workingday,Clear,0.22,0.2121,0.35,0.2985,13,48,61,61,728,61,1,2,1,121,1,728,184414,1,61
2011-01-03,spring,2011,January,13,Monday,Workingday,Clear,0.24,0.2121,0.35,0.2836,8,53,61,61,728,61,1,2,1,121,1,729,184919,1,61
2011-01-03,spring,2011,January,14,Monday,Workingday,Clear,0.26,0.2424,0.3,0.2836,11,66,77,77,728,77,1,2,1,121,1,729,175652,1,77
2011-01-03,spring,2011,January,15,Monday,Workingday,Clear,0.26,0.2424,0.3,0.2537,14,58,72,72,728,72,1,2,1,121,1,729,183149,1,72
2011-01-03,spring,2011,January,16,Monday,Workingday,Clear,0.26,0.2424,0.3,0.2537,9,67,76,76,728,76,1,2,1,121,1,730,227748,1,76
2011-01-03,spring,2011,January,17,Monday,Workingday,Clear,0.24,0.2273,0.3,0.2239,11,146,157,157,728,157,1,3,1,131,1,730,336860,1,157
2011-01-03,spring,2011,January,18,Monday,Workingday,Clear,0.24,0.2576,0.32,0.1045,9,148,157,157,728,157,1,3,1,131,1,728,309772,1,157
2011-01-03,spring,2011,January,19,Monday,Workingday,Clear,0.2,0.2576,0.47,0.0,8,102,110,110,728,110,1,2,1,121,1,728,226789,1,110
2011-01-03,spring,2011,January,20,Monday,Workingday,Clear,0.2,0.2273,0.47,0.1045,3,49,52,52,728,52,1,2,1,121,1,728,164550,1,52
2011-01-03,spring,2011,January,21,Monday,Workingday,Clear,0.18,0.197,0.64,0.1343,3,49,52,52,728,52,1,2,1,121,1,728,125445,1,52
2011-01-03,spring,2011,January,22,Monday,Workingday,Clear,0.14,0.1515,0.69,0.1343,0,20,20,20,728,20,1,1,1,111,1,728,95612,1,20
2011-01-03,spring,2011,January,23,Monday,Workingday,Clear,0.18,0.2121,0.55,0.1045,1,11,12,12,728,12,1,1,1,111,1,728,63941,1,12
2011-01-04,spring,2011,January,0,Tuesday,Workingday,Clear,0.16,0.1818,0.55,0.1045,0,5,5,5,727,5,1,1,1,111,1,726,39130,1,5
2011-01-04,spring,2011,January,1,Tuesday,Workingday,Clear,0.16,0.1818,0.59,0.1045,0,2,2,2,727,2,1,1,1,111,1,724,24164,1,2
2011-01-04,spring,2011,January,2,Tuesday,Workingday,Clear,0.14,0.1515,0.63,0.1343,0,1,1,1,727,1,1,1,1,111,1,715,16352,1,1
2011-01-04,spring,2011,January,4,Tuesday,Workingday,Clear,0.14,0.1818,0.63,0.0896,0,2,2,2,727,2,1,1,1,111,1,697,4428,1,2
2011-01-04,spring,2011,January,5,Tuesday,Workingday,Clear,0.12,0.1515,0.68,0.1045,0,4,4,4,727,4,1,1,1,111,1,717,14261,1,4
2011-01-04,spring,2011,January,6,Tuesday,Workingday,Clear,0.12,0.1515,0.74,0.1045,0,36,36,36,727,36,1,1,1,111,1,725,55132,1,36
2011-01-04,spring,2011,January,7,Tuesday,Workingday,Clear,0.12,0.1515,0.74,0.1343,2,92,94,94,727,94,1,2,1,121,1,727,154171,1,94
2011-01-04,spring,2011,January,8,Tuesday,Workingday,Clear,0.14,0.1515,0.69,0.1642,2,177,179,179,727,179,1,3,1,131,1,727,261001,1,179
2011-01-04,spring,2011,January,9,Tuesday,Workingday,Clear,0.16,0.1515,0.64,0.2239,2,98,100,100,727,100,1,2,1,121,1,727,159438,1,100
2011-01-04,spring,2011,January,10,Tuesday,Workingday,Mist,0.16,0.1364,0.69,0.3284,5,37,42,42,727,42,1,2,1,121,1,727,126257,1,42
2011-01-04,spring,2011,January,11,Tuesday,Workingday,Clear,0.22,0.2121,0.51,0.2985,7,50,57,57,727,57,1,2,1,121,1,727,151320,1,57
2011-01-04,spring,2011,January,12,Tuesday,Workingday,Clear,0.22,0.2273,0.51,0.1642,12,66,78,78,727,78,1,2,1,121,1,728,184414,1,78
2011-01-04,spring,2011,January,13,Tuesday,Workingday,Clear,0.24,0.2273,0.56,0.194,18,79,97,97,727,97,1,2,1,121,1,729,184919,1,97
2011-01-04,spring,2011,January,14,Tuesday,Workingday,Clear,0.26,0.2576,0.52,0.2239,9,54,63,63,727,63,1,2,1,121,1,729,175652,1,63
2011-01-04,spring,2011,January,15,Tuesday,Workingday,Clear,0.28,0.2727,0.52,0.2537,17,48,65,65,727,65,1,2,1,121,1,729,183149,1,65
2011-01-04,spring,2011,January,16,Tuesday,Workingday,Clear,0.3,0.2879,0.49,0.2537,15,68,83,83,727,83,1,2,1,121,1,730,227748,1,83
2011-01-04,spring,2011,January,17,Tuesday,Workingday,Clear,0.28,0.2727,0.48,0.2239,10,202,212,212,727,212,1,3,1,131,1,730,336860,1,212
2011-01-04,spring,2011,January,18,Tuesday,Workingday,Clear,0.26,0.2576,0.48,0.194,3,179,182,182,727,182,1,3,1,131,1,728,309772,1,182
2011-01-04,spring,2011,January,19,Tuesday,Workingday,Clear,0.24,0.2576,0.48,0.1045,2,110,112,112,727,112,1,2,1,121,1,728,226789,1,112
2011-01-04,spring,2011,January,20,Tuesday,Workingday,Clear,0.24,0.2576,0.48,0.1045,1,53,54,54,727,54,1,2,1,121,1,728,164550,1,54
2011-01-04,spring,2011,January,21,Tuesday,Workingday,Clear,0.22,0.2727,0.64,0.0,0,48,48,48,727,48,1,2,1,121,1,728,125445,1,48
2011-01-04,spring,2011,January,22,Tuesday,Workingday,Clear,0.22,0.2576,0.64,0.0896,1,34,35,35,727,35,1,1,1,111,1,728,95612,1,35
2011-01-04,spring,2011,January,23,Tuesday,Workingday,Clear,0.2,0.2273,0.69,0.0896,2,9,11,11,727,11,1,1,1,111,1,728,63941,1,11
2011-01-05,spring,2011,January,0,Wednesday,Workingday,Clear,0.2,0.2576,0.64,0.0,0,6,6,6,726,6,1,1,1,111,1,726,39130,1,6
2011-01-05,spring,2011,January,1,Wednesday,Workingday,Clear,0.16,0.197,0.74,0.0896,0,6,6,6,726,6,1,1,1,111,1,724,24164,1,6
2011-01-05,spring,2011,January,2,Wednesday,Workingday,Clear,0.16,0.197,0.74,0.0896,0,2,2,2,726,2,1,1,1,111,1,715,16352,1,2
2011-01-05,spring,2011,January,4,Wednesday,Workingday,Clear,0.24,0.2273,0.48,0.2239,0,2,2,2,726,2,1,1,1,111,1,697,4428,1,2
2011-01-05,spring,2011,January,5,Wednesday,Workingday,Clear,0.22,0.2273,0.47,0.1642,0,3,3,3,726,3,1,1,1,111,1,717,14261,1,3
2011-01-05,spring,2011,January,6,Wednesday,Workingday,Clear,0.2,0.197,0.47,0.2239,0,33,33,33,726,33,1,1,1,111,1,725,55132,1,33
2011-01-05,spring,2011,January,7,Wednesday,Workingday,Clear,0.18,0.1818,0.43,0.194,1,87,88,88,726,88,1,2,1,121,1,727,154171,1,88
2011-01-05,spring,2011,January,8,Wednesday,Workingday,Clear,0.2,0.1818,0.4,0.2985,3,192,195,195,726,195,1,3,1,131,1,727,261001,1,195
2011-01-05,spring,2011,January,9,Wednesday,Workingday,Clear,0.22,0.197,0.37,0.3284,6,109,115,115,726,115,1,2,1,121,1,727,159438,1,115
2011-01-05,spring,2011,January,10,Wednesday,Workingday,Clear,0.22,0.197,0.37,0.3284,4,53,57,57,726,57,1,2,1,121,1,727,126257,1,57
2011-01-05,spring,2011,January,11,Wednesday,Workingday,Clear,0.26,0.2273,0.33,0.3284,12,34,46,46,726,46,1,2,1,121,1,727,151320,1,46
2011-01-05,spring,2011,January,12,Wednesday,Workingday,Clear,0.26,0.2273,0.33,0.3284,5,74,79,79,726,79,1,2,1,121,1,728,184414,1,79
2011-01-05,spring,2011,January,13,Wednesday,Workingday,Clear,0.28,0.2576,0.3,0.2985,6,65,71,71,726,71,1,2,1,121,1,729,184919,1,71
2011-01-05,spring,2011,January,14,Wednesday,Workingday,Clear,0.3,0.2879,0.28,0.194,10,52,62,62,726,62,1,2,1,121,1,729,175652,1,62
2011-01-05,spring,2011,January,15,Wednesday,Workingday,Clear,0.3,0.2879,0.28,0.194,7,55,62,62,726,62,1,2,1,121,1,729,183149,1,62
2011-01-05,spring,2011,January,16,Wednesday,Workingday,Clear,0.3,0.3182,0.28,0.0896,4,85,89,89,726,89,1,2,1,121,1,730,227748,1,89
2011-01-05,spring,2011,January,17,Wednesday,Workingday,Clear,0.24,0.2273,0.38,0.194,4,186,190,190,726,190,1,3,1,131,1,730,336860,1,190
2011-01-05,spring,2011,January,18,Wednesday,Workingday,Clear,0.24,0.2424,0.38,0.1343,3,166,169,169,726,169,1,3,1,131,1,728,309772,1,169
2011-01-05,spring,2011,January,19,Wednesday,Workingday,Clear,0.24,0.2576,0.38,0.1045,5,127,132,132,726,132,1,2,1,121,1,728,226789,1,132
2011-01-05,spring,2011,January,20,Wednesday,Workingday,Clear,0.22,0.2273,0.47,0.1642,7,82,89,89,726,89,1,2,1,121,1,728,164550,1,89
2011-01-05,spring,2011,January,21,Wednesday,Workingday,Clear,0.2,0.197,0.51,0.194,3,40,43,43,726,43,1,2,1,121,1,728,125445,1,43
2011-01-05,spring,2011,January,22,Wednesday,Workingday,Clear,0.18,0.197,0.55,0.1343,1,41,42,42,726,42,1,2,1,121,1,728,95612,1,42
2011-01-05,spring,2011,January,23,Wednesday,Workingday,Clear,0.2,0.2576,0.47,0.0,1,18,19,19,726,19,1,1,1,111,1,728,63941,1,19
2011-01-06,spring,2011,January,0,Thursday,Workingday,Clear,0.18,0.2424,0.55,0.0,0,11,11,11,725,11,1,1,1,111,1,726,39130,1,11
2011-01-06,spring,2011,January,1,Thursday,Workingday,Clear,0.16,0.2273,0.64,0.0,0,4,4,4,725,4,1,1,1,111,1,724,24164,1,4
2011-01-06,spring,2011,January,2,Thursday,Workingday,Clear,0.16,0.2273,0.64,0.0,0,2,2,2,725,2,1,1,1,111,1,715,16352,1,2
2011-01-06,spring,2011,January,4,Thursday,Workingday,Mist,0.16,0.197,0.64,0.0896,0,1,1,1,725,1,1,1,1,111,1,697,4428,1,1
2011-01-06,spring,2011,January,5,Thursday,Workingday,Mist,0.14,0.1818,0.69,0.0896,0,4,4,4,725,4,1,1,1,111,1,717,14261,1,4
2011-01-06,spring,2011,January,6,Thursday,Workingday,Mist,0.14,0.1667,0.63,0.1045,0,36,36,36,725,36,1,1,1,111,1,725,55132,1,36
2011-01-06,spring,2011,January,7,Thursday,Workingday,Mist,0.16,0.2273,0.59,0.0,0,95,95,95,725,95,1,2,1,121,1,727,154171,1,95
2011-01-06,spring,2011,January,8,Thursday,Workingday,Clear,0.16,0.2273,0.59,0.0,3,216,219,219,725,219,1,3,1,131,1,727,261001,1,219
2011-01-06,spring,2011,January,9,Thursday,Workingday,Mist,0.18,0.2424,0.51,0.0,6,116,122,122,725,122,1,2,1,121,1,727,159438,1,122
2011-01-06,spring,2011,January,10,Thursday,Workingday,Clear,0.2,0.2576,0.47,0.0,3,42,45,45,725,45,1,2,1,121,1,727,126257,1,45
2011-01-06,spring,2011,January,11,Thursday,Workingday,Clear,0.22,0.2576,0.44,0.0896,2,57,59,59,725,59,1,2,1,121,1,727,151320,1,59
2011-01-06,spring,2011,January,12,Thursday,Workingday,Clear,0.26,0.2879,0.35,0.0,6,78,84,84,725,84,1,2,1,121,1,728,184414,1,84
2011-01-06,spring,2011,January,13,Thursday,Workingday,Clear,0.26,0.2727,0.35,0.1045,12,55,67,67,725,67,1,2,1,121,1,729,184919,1,67
2011-01-06,spring,2011,January,14,Thursday,Workingday,Clear,0.28,0.2727,0.36,0.1642,11,59,70,70,725,70,1,2,1,121,1,729,175652,1,70
2011-01-06,spring,2011,January,15,Thursday,Workingday,Clear,0.28,0.2727,0.36,0.0,8,54,62,62,725,62,1,2,1,121,1,729,183149,1,62
2011-01-06,spring,2011,January,16,Thursday,Workingday,Clear,0.26,0.2576,0.38,0.1642,12,74,86,86,725,86,1,2,1,121,1,730,227748,1,86
2011-01-06,spring,2011,January,17,Thursday,Workingday,Clear,0.22,0.2273,0.51,0.1642,9,163,172,172,725,172,1,3,1,131,1,730,336860,1,172
2011-01-06,spring,2011,January,18,Thursday,Workingday,Clear,0.22,0.2273,0.51,0.1343,5,158,163,163,725,163,1,3,1,131,1,728,309772,1,163
2011-01-06,spring,2011,January,19,Thursday,Workingday,Clear,0.22,0.2576,0.55,0.0896,3,109,112,112,725,112,1,2,1,121,1,728,226789,1,112
2011-01-06,spring,2011,January,20,Thursday,Workingday,Clear,0.2,0.2121,0.51,0.1642,3,66,69,69,725,69,1,2,1,121,1,728,164550,1,69
2011-01-06,spring,2011,January,21,Thursday,Workingday,Mist,0.22,0.2121,0.55,0.2239,0,48,48,48,725,48,1,2,1,121,1,728,125445,1,48
2011-01-06,spring,2011,January,22,Thursday,Workingday,Mist,0.22,0.2121,0.51,0.2836,1,51,52,52,725,52,1,2,1,121,1,728,95612,1,52
2011-01-06,spring,2011,January,23,Thursday,Workingday,Mist,0.2,0.197,0.59,0.194,4,19,23,23,725,23,1,1,1,111,1,728,63941,1,23
2011-01-07,spring,2011,January,0,Friday,Workingday,Mist,0.2,0.197,0.64,0.194,4,13,17,17,724,17,1,1,1,111,1,726,39130,1,17
2011-01-07,spring,2011,January,1,Friday,Workingday,Mist,0.2,0.197,0.69,0.2239,2,5,7,7,724,7,1,1,1,111,1,724,24164,1,7
2011-01-07,spring,2011,January,2,Friday,Workingday,Mist,0.2,0.197,0.69,0.2239,0,1,1,1,724,1,1,1,1,111,1,715,16352,1,1
2011-01-07,spring,2011,January,4,Friday,Workingday,Mist,0.2,0.2121,0.69,0.1343,0,1,1,1,724,1,1,1,1,111,1,697,4428,1,1
2011-01-07,spring,2011,January,5,Friday,Workingday,Light Snow,0.22,0.2727,0.55,0.0,0,5,5,5,724,5,1,1,1,111,1,717,14261,1,5
2011-01-07,spring,2011,January,6,Friday,Workingday,Mist,0.2,0.2576,0.69,0.0,8,26,34,34,724,34,1,1,1,111,1,725,55132,1,34
2011-01-07,spring,2011,January,7,Friday,Workingday,Clear,0.2,0.2121,0.69,0.1343,8,76,84,84,724,84,1,2,1,121,1,727,154171,1,84
2011-01-07,spring,2011,January,8,Friday,Workingday,Clear,0.2,0.197,0.51,0.2537,20,190,210,210,724,210,1,3,1,131,1,727,261001,1,210
2011-01-07,spring,2011,January,9,Friday,Workingday,Clear,0.2,0.1818,0.47,0.2985,9,125,134,134,724,134,1,2,1,121,1,727,159438,1,134
2011-01-07,spring,2011,January,10,Friday,Workingday,Clear,0.22,0.197,0.37,0.3284,16,47,63,63,724,63,1,2,1,121,1,727,126257,1,63
2011-01-07,spring,2011,January,11,Friday,Workingday,Mist,0.2,0.197,0.4,0.2239,19,48,67,67,724,67,1,2,1,121,1,727,151320,1,67
2011-01-07,spring,2011,January,12,Friday,Workingday,Mist,0.2,0.197,0.37,0.2537,9,50,59,59,724,59,1,2,1,121,1,728,184414,1,59
2011-01-07,spring,2011,January,13,Friday,Workingday,Mist,0.2,0.1818,0.37,0.2836,9,64,73,73,724,73,1,2,1,121,1,729,184919,1,73
2011-01-07,spring,2011,January,14,Friday,Workingday,Mist,0.2,0.197,0.4,0.2537,7,43,50,50,724,50,1,2,1,121,1,729,175652,1,50
2011-01-07,spring,2011,January,15,Friday,Workingday,Mist,0.2,0.2121,0.37,0.1642,9,63,72,72,724,72,1,2,1,121,1,729,183149,1,72
2011-01-07,spring,2011,January,16,Friday,Workingday,Mist,0.2,0.2121,0.37,0.1642,5,82,87,87,724,87,1,2,1,121,1,730,227748,1,87
2011-01-07,spring,2011,January,17,Friday,Workingday,Mist,0.2,0.2576,0.37,0.0,9,178,187,187,724,187,1,3,1,131,1,730,336860,1,187
2011-01-07,spring,2011,January,18,Friday,Workingday,Clear,0.2,0.2273,0.4,0.0896,7,116,123,123,724,123,1,2,1,121,1,728,309772,1,123
2011-01-07,spring,2011,January,19,Friday,Workingday,Clear,0.16,0.197,0.55,0.0896,3,92,95,95,724,95,1,2,1,121,1,728,226789,1,95
2011-01-07,spring,2011,January,20,Friday,Workingday,Clear,0.18,0.2121,0.47,0.1045,1,50,51,51,724,51,1,2,1,121,1,728,164550,1,51
2011-01-07,spring,2011,January,21,Friday,Workingday,Clear,0.18,0.197,0.47,0.1343,0,39,39,39,724,39,1,1,1,111,1,728,125445,1,39
2011-01-07,spring,2011,January,22,Friday,Workingday,Mist,0.18,0.197,0.43,0.1642,2,34,36,36,724,36,1,1,1,111,1,728,95612,1,36
2011-01-07,spring,2011,January,23,Friday,Workingday,Mist,0.18,0.197,0.51,0.1642,1,14,15,15,724,15,1,1,1,111,1,728,63941,1,15
2011-01-08,spring,2011,January,0,Saturday,Holiday,Mist,0.18,0.197,0.51,0.1642,1,24,25,25,723,25,1,1,1,111,1,726,39130,1,25
2011-01-08,spring,2011,January,1,Saturday,Holiday,Mist,0.18,0.2121,0.55,0.0896,1,15,16,16,723,16,1,1,1,111,1,724,24164,1,16
2011-01-08,spring,2011,January,2,Saturday,Holiday,Mist,0.18,0.2424,0.55,0.0,3,13,16,16,723,16,1,1,1,111,1,715,16352,1,16
2011-01-08,spring,2011,January,3,Saturday,Holiday,Light Snow,0.18,0.197,0.55,0.1642,0,7,7,7,723,7,1,1,1,111,1,697,8174,1,7
2011-01-08,spring,2011,January,4,Saturday,Holiday,Light Snow,0.18,0.197,0.55,0.1642,0,1,1,1,723,1,1,1,1,111,1,697,4428,1,1
2011-01-08,spring,2011,January,5,Saturday,Holiday,Mist,0.16,0.1667,0.74,0.1642,0,5,5,5,723,5,1,1,1,111,1,717,14261,1,5
2011-01-08,spring,2011,January,6,Saturday,Holiday,Mist,0.16,0.1667,0.74,0.1642,0,2,2,2,723,2,1,1,1,111,1,725,55132,1,2
2011-01-08,spring,2011,January,7,Saturday,Holiday,Mist,0.16,0.1818,0.74,0.1045,1,8,9,9,723,9,1,1,1,111,1,727,154171,1,9
2011-01-08,spring,2011,January,8,Saturday,Holiday,Light Snow,0.16,0.1818,0.93,0.1045,0,15,15,15,723,15,1,1,1,111,1,727,261001,1,15
2011-01-08,spring,2011,January,9,Saturday,Holiday,Light Snow,0.16,0.1818,0.93,0.1045,0,20,20,20,723,20,1,1,1,111,1,727,159438,1,20
2011-01-08,spring,2011,January,10,Saturday,Holiday,Mist,0.18,0.197,0.8,0.1642,5,56,61,61,723,61,1,2,1,121,1,727,126257,1,61
